headword,CEFR,source
agricultural,C1,oxford_5000
agriculture,B2,oxford_5000
ah,A2,oxford_3000
ahead,B1,oxford_3000
aid,B2,oxford_3000
aide,C1,oxford_5000
aids,B2,oxford_5000
aim,B1,oxford_3000
air,A1,oxford_3000
aircraft,B2,oxford_3000
airline,A2,oxford_3000
airport,A1,oxford_3000
alarm,B1,oxford_3000
albeit,C1,oxford_5000
album,B1,oxford_3000
alcohol,B1,oxford_3000
alcoholic,B1,oxford_3000
alert,C1,oxford_5000
alien,B2,oxford_5000
align,C1,oxford_5000
alignment,C1,oxford_5000
alike,C1,oxford_5000
alive,A2,oxford_3000
all,A1,oxford_3000
all right,A2,oxford_3000
allegation,C1,oxford_5000
allege,C1,oxford_5000
allegedly,C1,oxford_5000
alliance,C1,oxford_5000
allocate,C1,oxford_5000
allocation,C1,oxford_5000
allow,A2,oxford_3000
allowance,C1,oxford_5000
ally,C1,oxford_5000
almost,A2,oxford_3000
alone,A2,oxford_3000
along,A2,oxford_3000
alongside,B2,oxford_5000
also,A1,oxford_3000
alter,B2,oxford_3000
alternative,A2,oxford_3000
although,A2,oxford_3000
altogether,B2,oxford_5000
aluminium,C1,oxford_5000
always,A1,oxford_3000
amateur,C1,oxford_5000
amazed,B1,oxford_3000
amazing,A1,oxford_3000
ambassador,C1,oxford_5000
ambition,B1,oxford_3000
ambitious,B1,oxford_3000
ambulance,B2,oxford_5000
amend,C1,oxford_5000
amendment,C1,oxford_5000
amid,C1,oxford_5000
among,A2,oxford_3000
amount,A2,oxford_3000
amusing,B2,oxford_5000
an,A1,oxford_3000
analogy,C1,oxford_5000
analyse,B1,oxford_3000
analysis,B1,oxford_3000
analyst,B2,oxford_5000
ancestor,B2,oxford_5000
anchor,C1,oxford_5000
ancient,A2,oxford_3000
and,A1,oxford_3000
angel,C1,oxford_5000
anger,B2,oxford_3000
angle,B2,oxford_3000
angry,A1,oxford_3000
animal,A1,oxford_3000
animation,B2,oxford_5000
ankle,A2,oxford_3000
anniversary,B2,oxford_3000
announce,B1,oxford_3000
announcement,B1,oxford_3000
annoy,B1,oxford_3000
annoyed,B1,oxford_3000
annoying,B1,oxford_3000
annual,B2,oxford_3000
annually,B2,oxford_5000
anonymous,C1,oxford_5000
another,A1,oxford_3000
answer,A1,oxford_3000
anticipate,B2,oxford_5000
anxiety,B2,oxford_5000
anxious,B2,oxford_3000
any,A1,oxford_3000
any more,A2,oxford_3000
anybody,A2,oxford_3000
anyone,A1,oxford_3000
anything,A1,oxford_3000
anyway,A2,oxford_3000
anywhere,A2,oxford_3000
apart,B1,oxford_3000
apartment,A1,oxford_3000
apologize,B1,oxford_3000
apology,B2,oxford_5000
app,A2,oxford_3000
apparatus,C1,oxford_5000
apparent,B2,oxford_3000
apparently,B2,oxford_3000
appeal,B2,oxford_3000
appealing,C1,oxford_5000
appear,A2,oxford_3000
appearance,A2,oxford_3000
appetite,C1,oxford_5000
applaud,C1,oxford_5000
apple,A1,oxford_3000
applicable,C1,oxford_5000
applicant,B2,oxford_5000
application,B1,oxford_3000
apply,A2,oxford_3000
appoint,C1,oxford_5000
appointment,B1,oxford_3000
appreciate,B1,oxford_3000
appreciation,C1,oxford_5000
approach,B2,oxford_3000
appropriate,B2,oxford_3000
appropriately,B2,oxford_5000
approval,B2,oxford_3000
approve,B2,oxford_3000
approximately,B1,oxford_3000
april,A1,oxford_3000
arbitrary,C1,oxford_5000
architect,A2,oxford_3000
architectural,C1,oxford_5000
architecture,A2,oxford_3000
archive,C1,oxford_5000
area,A1,oxford_3000
arena,C1,oxford_5000
arguably,C1,oxford_5000
argue,A2,oxford_3000
argument,A2,oxford_3000
arise,B2,oxford_3000
arm,A1,oxford_3000
armed,B2,oxford_3000
arms,B2,oxford_3000
army,A2,oxford_3000
around,A1,oxford_3000
arrange,A2,oxford_3000
arrangement,A2,oxford_3000
array,C1,oxford_5000
arrest,B1,oxford_3000
arrival,B1,oxford_3000
arrive,A1,oxford_3000
arrow,B2,oxford_5000
art,A1,oxford_3000
article,A1,oxford_3000
articulate,C1,oxford_5000
artificial,B2,oxford_3000
artist,A1,oxford_3000
artistic,B2,oxford_3000
artwork,B2,oxford_5000
as,A1,oxford_3000
ash,C1,oxford_5000
ashamed,B2,oxford_3000
aside,B2,oxford_5000
ask,A1,oxford_3000
asleep,A2,oxford_3000
aspect,B2,oxford_3000
aspiration,C1,oxford_5000
aspire,C1,oxford_5000
assassination,C1,oxford_5000
assault,C1,oxford_5000
assemble,C1,oxford_5000
assembly,C1,oxford_5000
assert,C1,oxford_5000
assertion,C1,oxford_5000
assess,B2,oxford_3000
assessment,B2,oxford_3000
asset,B2,oxford_5000
assign,B2,oxford_5000
assignment,B1,oxford_3000
assist,B1,oxford_3000
assistance,B2,oxford_5000
assistant,A2,oxford_3000
associate,B2,oxford_3000
associated,B2,oxford_3000
association,B2,oxford_3000
assume,B2,oxford_3000
assumption,B2,oxford_5000
assurance,C1,oxford_5000
assure,B2,oxford_5000
astonishing,B2,oxford_5000
asylum,C1,oxford_5000
at,A1,oxford_3000
athlete,A2,oxford_3000
atmosphere,B1,oxford_3000
atrocity,C1,oxford_5000
attach,B1,oxford_3000
attachment,B2,oxford_5000
attack,A2,oxford_3000
attain,C1,oxford_5000
attempt,B2,oxford_3000
attend,A2,oxford_3000
attendance,C1,oxford_5000
attention,A2,oxford_3000
attitude,B1,oxford_3000
attorney,C1,oxford_5000
attract,B1,oxford_3000
attraction,B1,oxford_3000
attractive,A2,oxford_3000
attribute,C1,oxford_5000
auction,B2,oxford_5000
audience,A2,oxford_3000
audio,B2,oxford_5000
audit,C1,oxford_5000
august,A1,oxford_3000
aunt,A1,oxford_3000
authentic,C1,oxford_5000
author,A2,oxford_3000
authority,B1,oxford_3000
authorize,C1,oxford_5000
auto,C1,oxford_5000
automatic,B2,oxford_5000
automatically,B2,oxford_5000
autonomy,C1,oxford_5000
autumn,A1,oxford_3000
availability,C1,oxford_5000
available,A2,oxford_3000
average,A2,oxford_3000
avoid,A2,oxford_3000
await,C1,oxford_5000
award,A2,oxford_3000
aware,B1,oxford_3000
awareness,B2,oxford_5000
away,A1,oxford_3000
awful,A2,oxford_3000
awkward,B2,oxford_5000
baby,A1,oxford_3000
back,A1,oxford_3000
backdrop,C1,oxford_5000
background,A2,oxford_3000
backing,C1,oxford_5000
backup,C1,oxford_5000
backwards,B1,oxford_3000
bacteria,B2,oxford_3000
bad,A1,oxford_3000
badge,B2,oxford_5000
badly,A2,oxford_3000
bag,A1,oxford_3000
bail,C1,oxford_5000
bake,B1,oxford_3000
balance,B1,oxford_3000
balanced,B2,oxford_5000
ball,A1,oxford_3000
ballet,B2,oxford_5000
balloon,B2,oxford_5000
ballot,C1,oxford_5000
ban,B1,oxford_3000
banana,A1,oxford_3000
band,A1,oxford_3000
bank,A1,oxford_3000
banner,C1,oxford_5000
bar,A2,oxford_3000
bare,C1,oxford_5000
barely,B2,oxford_5000
bargain,B2,oxford_5000
barrel,C1,oxford_5000
barrier,B2,oxford_3000
base,B1,oxford_3000
baseball,A2,oxford_3000
based,A2,oxford_3000
basement,B2,oxford_5000
basic,B1,oxford_3000
basically,B2,oxford_3000
basis,B1,oxford_3000
basket,B2,oxford_5000
basketball,A2,oxford_3000
bass,C1,oxford_5000
bat,B2,oxford_5000
bath,A1,oxford_3000
bathroom,A1,oxford_3000
battery,B1,oxford_3000
battle,B1,oxford_3000
battlefield,C1,oxford_5000
bay,C1,oxford_5000
be,A1,oxford_3000
beach,A1,oxford_3000
beam,C1,oxford_5000
bean,A2,oxford_3000
bear,A2,oxford_3000
beast,C1,oxford_5000
beat,A2,oxford_3000
beautiful,A1,oxford_3000
beauty,B1,oxford_3000
because,A1,oxford_3000
become,A1,oxford_3000
bed,A1,oxford_3000
bedroom,A1,oxford_3000
bee,B1,oxford_3000
beef,A2,oxford_3000
beer,A1,oxford_3000
before,A1,oxford_3000
beg,B2,oxford_3000
begin,A1,oxford_3000
beginning,A1,oxford_3000
behalf,C1,oxford_5000
behave,A2,oxford_3000
behaviour,A2,oxford_3000
behind,A1,oxford_3000
being,B2,oxford_3000
belief,B1,oxford_3000
believe,A1,oxford_3000
bell,B1,oxford_3000
belong,A2,oxford_3000
beloved,C1,oxford_5000
below,A1,oxford_3000
belt,A2,oxford_3000
bench,C1,oxford_5000
benchmark,C1,oxford_5000
bend,B1,oxford_3000
beneath,C1,oxford_5000
beneficial,B2,oxford_5000
beneficiary,C1,oxford_5000
benefit,A2,oxford_3000
bent,B2,oxford_3000
beside,B2,oxford_5000
besides,B2,oxford_5000
best,A1,oxford_3000
bet,B2,oxford_3000
betray,C1,oxford_5000
better,A1,oxford_3000
between,A1,oxford_3000
beyond,B2,oxford_3000
bias,B2,oxford_5000
bicycle,A1,oxford_3000
bid,B2,oxford_5000
big,A1,oxford_3000
bike,A1,oxford_3000
bill,A1,oxford_3000
billion,A2,oxford_3000
bin,A2,oxford_3000
bind,C1,oxford_5000
biography,C1,oxford_5000
biological,B2,oxford_5000
biology,A2,oxford_3000
bird,A1,oxford_3000
birth,A2,oxford_3000
birthday,A1,oxford_3000
biscuit,A2,oxford_3000
bishop,C1,oxford_5000
bit,A2,oxford_3000
bite,B1,oxford_3000
bitter,B2,oxford_3000
bizarre,C1,oxford_5000
black,A1,oxford_3000
blade,C1,oxford_5000
blame,B2,oxford_3000
blank,A2,oxford_3000
blanket,B2,oxford_5000
blast,C1,oxford_5000
bleed,C1,oxford_5000
blend,C1,oxford_5000
bless,C1,oxford_5000
blessing,C1,oxford_5000
blind,B2,oxford_3000
block,B1,oxford_3000
blog,A1,oxford_3000
blonde,A1,oxford_3000
blood,A2,oxford_3000
blow,A2,oxford_3000
blue,A1,oxford_3000
board,A2,oxford_3000
boast,C1,oxford_5000
boat,A1,oxford_3000
body,A1,oxford_3000
boil,A2,oxford_3000
bold,B2,oxford_5000
bomb,B1,oxford_3000
bombing,B2,oxford_5000
bond,B2,oxford_3000
bone,A2,oxford_3000
bonus,C1,oxford_5000
book,A1,oxford_3000
booking,B2,oxford_5000
boom,C1,oxford_5000
boost,B2,oxford_5000
boot,A1,oxford_3000
border,B1,oxford_3000
bored,A1,oxford_3000
boring,A1,oxford_3000
born,A1,oxford_3000
borrow,A2,oxford_3000
boss,A2,oxford_3000
both,A1,oxford_3000
bother,B1,oxford_3000
bottle,A1,oxford_3000
bottom,A2,oxford_3000
bounce,C1,oxford_5000
bound,B2,oxford_5000
boundary,C1,oxford_5000
bow,C1,oxford_5000
bowl,A2,oxford_3000
box,A1,oxford_3000
boy,A1,oxford_3000
boyfriend,A1,oxford_3000
brain,A2,oxford_3000
branch,B1,oxford_3000
brand,B1,oxford_3000
brave,B1,oxford_3000
breach,C1,oxford_5000
bread,A1,oxford_3000
break,A1,oxford_3000
breakdown,C1,oxford_5000
breakfast,A1,oxford_3000
breakthrough,C1,oxford_5000
breast,B2,oxford_3000
breath,B1,oxford_3000
breathe,B1,oxford_3000
breathing,B1,oxford_3000
breed,C1,oxford_5000
brick,B2,oxford_5000
bride,B1,oxford_3000
bridge,A2,oxford_3000
brief,B2,oxford_3000
briefly,B2,oxford_5000
bright,A2,oxford_3000
brilliant,A2,oxford_3000
bring,A1,oxford_3000
broad,B2,oxford_3000
broadband,C1,oxford_5000
broadcast,B2,oxford_3000
broadcaster,B2,oxford_5000
broadly,B2,oxford_5000
broken,A2,oxford_3000
brother,A1,oxford_3000
brown,A1,oxford_3000
browser,C1,oxford_5000
brush,A2,oxford_3000
brutal,C1,oxford_5000
bubble,B1,oxford_3000
buck,C1,oxford_5000
buddy,C1,oxford_5000
budget,B2,oxford_3000
buffer,C1,oxford_5000
bug,B2,oxford_5000
build,A1,oxford_3000
building,A1,oxford_3000
bulk,C1,oxford_5000
bullet,B2,oxford_3000
bunch,B2,oxford_3000
burden,C1,oxford_5000
bureaucracy,C1,oxford_5000
burial,C1,oxford_5000
burn,A2,oxford_3000
burst,C1,oxford_5000
bury,B1,oxford_3000
bus,A1,oxford_3000
bush,B2,oxford_3000
business,A1,oxford_3000
businessman,A2,oxford_3000
busy,A1,oxford_3000
but,A1,oxford_3000
butter,A1,oxford_3000
button,A2,oxford_3000
buy,A1,oxford_3000
by,A1,oxford_3000
bye,A1,oxford_3000
cabin,B2,oxford_5000
cabinet,C1,oxford_5000
cable,B2,oxford_3000
cafe,A1,oxford_3000
cake,A1,oxford_3000
calculate,B2,oxford_3000
calculation,C1,oxford_5000
call,A1,oxford_3000
calm,B1,oxford_3000
camera,A1,oxford_3000
camp,A2,oxford_3000
campaign,B1,oxford_3000
camping,A2,oxford_3000
campus,B1,oxford_3000
can,A1,oxford_3000
canal,B2,oxford_5000
cancel,B2,oxford_3000
cancer,B2,oxford_3000
candidate,B1,oxford_3000
candle,B2,oxford_5000
cannot,A1,oxford_3000
canvas,C1,oxford_5000
cap,B1,oxford_3000
capability,C1,oxford_5000
capable,B2,oxford_3000
capacity,B2,oxford_3000
capital,A1,oxford_3000
capitalism,C1,oxford_5000
capitalist,C1,oxford_5000
captain,B1,oxford_3000
capture,B2,oxford_3000
car,A1,oxford_3000
carbon,B2,oxford_5000
card,A1,oxford_3000
care,A2,oxford_3000
career,A1,oxford_3000
careful,A2,oxford_3000
carefully,A2,oxford_3000
careless,B1,oxford_3000
cargo,C1,oxford_5000
carpet,A2,oxford_3000
carriage,C1,oxford_5000
carrot,A1,oxford_3000
carry,A1,oxford_3000
cartoon,A2,oxford_3000
carve,C1,oxford_5000
case,A2,oxford_3000
cash,A2,oxford_3000
casino,C1,oxford_5000
cast,B2,oxford_3000
castle,A2,oxford_3000
casual,B2,oxford_5000
casualty,C1,oxford_5000
cat,A1,oxford_3000
catalogue,C1,oxford_5000
catch,A2,oxford_3000
category,B1,oxford_3000
cater,C1,oxford_5000
cattle,C1,oxford_5000
cause,A2,oxford_3000
caution,C1,oxford_5000
cautious,C1,oxford_5000
cave,B2,oxford_5000
cd,A1,oxford_3000
cease,C1,oxford_5000
ceiling,B1,oxford_3000
celebrate,A2,oxford_3000
celebration,B1,oxford_3000
celebrity,A2,oxford_3000
cell,B2,oxford_3000
cemetery,C1,oxford_5000
cent,A1,oxford_3000
central,B1,oxford_3000
centre,A1,oxford_3000
century,A1,oxford_3000
ceremony,B1,oxford_3000
certain,A2,oxford_3000
certainly,A2,oxford_3000
certainty,B2,oxford_5000
certificate,B2,oxford_5000
chain,B1,oxford_3000
chair,A1,oxford_3000
chairman,B2,oxford_3000
challenge,B1,oxford_3000
challenging,B2,oxford_5000
chamber,C1,oxford_5000
champion,B1,oxford_3000
championship,B2,oxford_5000
chance,A2,oxford_3000
change,A1,oxford_3000
channel,B1,oxford_3000
chaos,C1,oxford_5000
chapter,B1,oxford_3000
character,A2,oxford_3000
characteristic,B2,oxford_3000
characterize,C1,oxford_5000
charge,B1,oxford_3000
charity,A2,oxford_3000
charm,C1,oxford_5000
charming,B2,oxford_5000
chart,A1,oxford_3000
charter,C1,oxford_5000
chase,B2,oxford_5000
chat,A2,oxford_3000
cheap,A1,oxford_3000
cheat,B1,oxford_3000
check,A1,oxford_3000
cheek,B2,oxford_5000
cheer,B2,oxford_5000
cheerful,B1,oxford_3000
cheese,A1,oxford_3000
chef,A2,oxford_3000
chemical,B1,oxford_3000
chemistry,A2,oxford_3000
chest,B1,oxford_3000
chicken,A1,oxford_3000
chief,B2,oxford_3000
child,A1,oxford_3000
childhood,B1,oxford_3000
chip,A2,oxford_3000
chocolate,A1,oxford_3000
choice,A2,oxford_3000
choir,B2,oxford_5000
choose,A1,oxford_3000
chop,B2,oxford_5000
chronic,C1,oxford_5000
chunk,C1,oxford_5000
church,A2,oxford_3000
cigarette,A2,oxford_3000
cinema,A1,oxford_3000
circle,A2,oxford_3000
circuit,B2,oxford_5000
circulate,C1,oxford_5000
circulation,C1,oxford_5000
circumstance,B2,oxford_3000
cite,B2,oxford_3000
citizen,B2,oxford_3000
citizenship,C1,oxford_5000
city,A1,oxford_3000
civic,C1,oxford_5000
civil,B2,oxford_3000
civilian,C1,oxford_5000
civilization,B2,oxford_5000
claim,B1,oxford_3000
clarify,B2,oxford_5000
clarity,C1,oxford_5000
clash,C1,oxford_5000
class,A1,oxford_3000
classic,B2,oxford_3000
classical,A2,oxford_3000
classification,C1,oxford_5000
classify,B2,oxford_5000
classroom,A1,oxford_3000
clause,B1,oxford_3000
clean,A1,oxford_3000
clear,A2,oxford_3000
clearly,A2,oxford_3000
clerk,B2,oxford_5000
clever,A2,oxford_3000
click,B1,oxford_3000
client,B1,oxford_3000
cliff,B2,oxford_5000
climate,A2,oxford_3000
climb,A1,oxford_3000
cling,C1,oxford_5000
clinic,B2,oxford_5000
clinical,C1,oxford_5000
clip,B2,oxford_5000
clock,A1,oxford_3000
close,A1,oxford_3000
closed,A2,oxford_3000
closely,B2,oxford_3000
closure,C1,oxford_5000
cloth,B1,oxford_3000
clothes,A1,oxford_3000
clothing,A2,oxford_3000
cloud,A2,oxford_3000
club,A1,oxford_3000
clue,B1,oxford_3000
cluster,C1,oxford_5000
coach,A2,oxford_3000
coal,B1,oxford_3000
coalition,C1,oxford_5000
coast,A2,oxford_3000
coastal,C1,oxford_5000
coat,A1,oxford_3000
cocktail,C1,oxford_5000
code,A2,oxford_3000
coffee,A1,oxford_3000
cognitive,C1,oxford_5000
coin,B1,oxford_3000
coincide,C1,oxford_5000
coincidence,B2,oxford_5000
cold,A1,oxford_3000
collaborate,C1,oxford_5000
collaboration,C1,oxford_5000
collapse,B2,oxford_3000
colleague,A2,oxford_3000
collect,A2,oxford_3000
collection,B1,oxford_3000
collective,C1,oxford_5000
collector,B2,oxford_5000
college,A1,oxford_3000
collision,C1,oxford_5000
colonial,C1,oxford_5000
colony,B2,oxford_5000
colour,A1,oxford_3000
coloured,B1,oxford_3000
colourful,B2,oxford_5000
column,A2,oxford_3000
columnist,C1,oxford_5000
combat,C1,oxford_5000
combination,B2,oxford_3000
combine,B1,oxford_3000
come,A1,oxford_3000
comedy,A2,oxford_3000
comfort,B2,oxford_3000
comfortable,A2,oxford_3000
comic,B2,oxford_5000
command,B2,oxford_3000
commander,B2,oxford_5000
commence,C1,oxford_5000
comment,A2,oxford_3000
commentary,C1,oxford_5000
commentator,C1,oxford_5000
commerce,C1,oxford_5000
commercial,B1,oxford_3000
commission,B2,oxford_3000
commissioner,C1,oxford_5000
commit,B1,oxford_3000
commitment,B2,oxford_3000
committee,B2,oxford_3000
commodity,C1,oxford_5000
common,A1,oxford_3000
commonly,B2,oxford_3000
communicate,A2,oxford_3000
communication,B1,oxford_3000
communist,C1,oxford_5000
community,A2,oxford_3000
companion,C1,oxford_5000
company,A1,oxford_3000
comparable,C1,oxford_5000
comparative,B2,oxford_5000
compare,A1,oxford_3000
comparison,B1,oxford_3000
compassion,C1,oxford_5000
compel,C1,oxford_5000
compelling,C1,oxford_5000
compensate,C1,oxford_5000
compensation,C1,oxford_5000
compete,A2,oxford_3000
competence,C1,oxford_5000
competent,C1,oxford_5000
competition,A2,oxford_3000
competitive,B1,oxford_3000
competitor,B1,oxford_3000
compile,C1,oxford_5000
complain,A2,oxford_3000
complaint,B1,oxford_3000
complement,C1,oxford_5000
complete,A1,oxford_3000
completely,A2,oxford_3000
completion,B2,oxford_5000
complex,B1,oxford_3000
complexity,C1,oxford_5000
compliance,C1,oxford_5000
complicated,B2,oxford_3000
complication,C1,oxford_5000
comply,C1,oxford_5000
component,B2,oxford_3000
compose,B2,oxford_5000
composer,B2,oxford_5000
composition,C1,oxford_5000
compound,B2,oxford_5000
comprehensive,B2,oxford_5000
comprise,B2,oxford_5000
compromise,C1,oxford_5000
compulsory,B2,oxford_5000
compute,C1,oxford_5000
computer,A1,oxford_3000
conceal,C1,oxford_5000
concede,C1,oxford_5000
conceive,C1,oxford_5000
concentrate,B1,oxford_3000
concentration,B2,oxford_3000
concept,B2,oxford_3000
conception,C1,oxford_5000
concern,B2,oxford_3000
concerned,B2,oxford_3000
concert,A1,oxford_3000
concession,C1,oxford_5000
conclude,B1,oxford_3000
conclusion,B1,oxford_3000
concrete,B2,oxford_5000
condemn,C1,oxford_5000
condition,A2,oxford_3000
conduct,B2,oxford_3000
confer,C1,oxford_5000
conference,A2,oxford_3000
confess,B2,oxford_5000
confession,C1,oxford_5000
confidence,B2,oxford_3000
confident,B1,oxford_3000
configuration,C1,oxford_5000
confine,C1,oxford_5000
confirm,B1,oxford_3000
confirmation,C1,oxford_5000
conflict,B2,oxford_3000
confront,C1,oxford_5000
confrontation,C1,oxford_5000
confuse,B1,oxford_3000
confused,B1,oxford_3000
confusing,B2,oxford_3000
confusion,B2,oxford_5000
congratulate,C1,oxford_5000
congregation,C1,oxford_5000
congressional,C1,oxford_5000
connect,A2,oxford_3000
connected,A2,oxford_3000
connection,B1,oxford_3000
conquer,C1,oxford_5000
conscience,C1,oxford_5000
conscious,B2,oxford_3000
consciousness,C1,oxford_5000
consecutive,C1,oxford_5000
consensus,C1,oxford_5000
consent,C1,oxford_5000
consequence,B1,oxford_3000
consequently,B2,oxford_5000
conservation,B2,oxford_5000
conservative,B2,oxford_3000
conserve,C1,oxford_5000
consider,A2,oxford_3000
considerable,B2,oxford_5000
considerably,B2,oxford_5000
consideration,B2,oxford_3000
consist,B1,oxford_3000
consistency,C1,oxford_5000
consistent,B2,oxford_3000
consistently,B2,oxford_5000
consolidate,C1,oxford_5000
conspiracy,B2,oxford_5000
constant,B2,oxford_3000
constantly,B2,oxford_3000
constituency,C1,oxford_5000
constitute,C1,oxford_5000
constitution,C1,oxford_5000
constitutional,C1,oxford_5000
constraint,C1,oxford_5000
construct,B2,oxford_3000
construction,B2,oxford_3000
consult,B2,oxford_5000
consultant,B2,oxford_5000
consultation,C1,oxford_5000
consume,B1,oxford_3000
consumer,B1,oxford_3000
consumption,B2,oxford_5000
contact,B1,oxford_3000
contain,A2,oxford_3000
container,B1,oxford_3000
contemplate,C1,oxford_5000
contemporary,B2,oxford_3000
contempt,C1,oxford_5000
contend,C1,oxford_5000
contender,C1,oxford_5000
content,B1,oxford_3000
contention,C1,oxford_5000
contest,B2,oxford_3000
context,A2,oxford_3000
continent,A2,oxford_3000
continually,C1,oxford_5000
continue,A2,oxford_3000
continuous,B1,oxford_3000
contract,B2,oxford_3000
contractor,C1,oxford_5000
contradiction,C1,oxford_5000
contrary,C1,oxford_5000
contrast,B1,oxford_3000
contribute,B2,oxford_3000
contribution,B2,oxford_3000
contributor,C1,oxford_5000
control,A2,oxford_3000
controversial,B2,oxford_5000
controversy,B2,oxford_5000
convenience,B2,oxford_5000
convenient,B1,oxford_3000
convention,B2,oxford_5000
conventional,B2,oxford_5000
conversation,A1,oxford_3000
conversion,C1,oxford_5000
convert,B2,oxford_3000
convey,B2,oxford_5000
convict,C1,oxford_5000
conviction,C1,oxford_5000
convince,B1,oxford_3000
convinced,B2,oxford_3000
convincing,B2,oxford_5000
cook,A1,oxford_3000
cooker,A2,oxford_3000
cooking,A1,oxford_3000
cool,A1,oxford_3000
cooperate,C1,oxford_5000
cooperative,C1,oxford_5000
coordinate,C1,oxford_5000
coordination,C1,oxford_5000
coordinator,C1,oxford_5000
cop,C1,oxford_5000
cope,B2,oxford_5000
copper,C1,oxford_5000
copy,A2,oxford_3000
copyright,C1,oxford_5000
core,B2,oxford_3000
corner,A2,oxford_3000
corporate,B2,oxford_3000
corporation,B2,oxford_5000
correct,A1,oxford_3000
correction,C1,oxford_5000
correctly,A2,oxford_3000
correlate,C1,oxford_5000
correlation,C1,oxford_5000
correspond,C1,oxford_5000
correspondence,C1,oxford_5000
correspondent,C1,oxford_5000
corresponding,C1,oxford_5000
corridor,B2,oxford_5000
corrupt,C1,oxford_5000
corruption,C1,oxford_5000
cost,A1,oxford_3000
costly,C1,oxford_5000
costume,B1,oxford_3000
cottage,B1,oxford_3000
cotton,B1,oxford_3000
could,A1,oxford_3000
council,B2,oxford_3000
councillor,C1,oxford_5000
counselling,C1,oxford_5000
counsellor,C1,oxford_5000
count,A2,oxford_3000
counterpart,C1,oxford_5000
countless,C1,oxford_5000
country,A1,oxford_3000
countryside,B1,oxford_3000
county,B2,oxford_3000
coup,C1,oxford_5000
couple,A2,oxford_3000
courage,B2,oxford_3000
course,A1,oxford_3000
court,B1,oxford_3000
